Limited tf.compat.v2.summary API due to missing TensorBoard installation.
Using SEED = 466
/home/xianlli/dataset/HSI/urban/Urban_corrected.mat
img shape: (150, 160, 162)
img_patches_nonzero: (12048, 7, 7, 162)
x_patches shape: (12048, 7, 7, 162), labels: [1 2 3 4 5 6 7]
constructing hypergraph...
construction completed. training clustering network...
epoch
epoch 178 ==> loss=14.851197
epoch 179 ==> loss=14.7795105
epoch 180 ==> loss=14.7083
epoch 181 ==> loss=14.637561
epoch 182 ==> loss=14.567338
epoch 183 ==> loss=14.497665
epoch 184 ==> loss=14.428638
epoch 185 ==> loss=14.360044
epoch 186 ==> loss=14.292174
epoch 187 ==> loss=14.224649
epoch 188 ==> loss=14.157671
epoch 189 ==> loss=14.091275
epoch 190 ==> loss=14.02533
epoch 191 ==> loss=13.95987
epoch 192 ==> loss=13.89481
epoch 193 ==> loss=13.830194
epoch 194 ==> loss=13.766105
epoch 195 ==> loss=13.702443
epoch 196 ==> loss=13.639192
epoch 197 ==> loss=13.576394
epoch 198 ==> loss=13.514093
epoch 199 ==> loss=13.452139
epoch 200 ==> loss=13.390645
epoch 201 ==> loss=13.32968
epoch 202 ==> loss=13.26908
epoch 203 ==> loss=13.208803
epoch 204 ==> loss=13.1490755
epoch 205 ==> loss=13.089692
epoch 206 ==> loss=13.030703
epoch 207 ==> loss=12.972016
epoch 208 ==> loss=12.913699
epoch 209 ==> loss=12.855763
epoch 210 ==> loss=12.798065
epoch 211 ==> loss=12.740789
epoch 212 ==> loss=12.683821
epoch 213 ==> loss=12.62712
epoch 214 ==> loss=12.570711
epoch 215 ==> loss=12.514655
epoch 216 ==> loss=12.45885
epoch 217 ==> loss=12.403298
epoch 218 ==> loss=12.348002
epoch 219 ==> loss=12.292903
epoch 220 ==> loss=12.238148
epoch 221 ==> loss=12.183685
epoch 222 ==> loss=12.12939
epoch 223 ==> loss=12.07541
epoch 224 ==> loss=12.021757
epoch 225 ==> loss=11.968272
epoch 226 ==> loss=11.915025
epoch 227 ==> loss=11.8620615
epoch 228 ==> loss=11.809416
epoch 229 ==> loss=11.756935
epoch 230 ==> loss=11.704758
epoch 231 ==> loss=11.652775
epoch 232 ==> loss=11.601156
epoch 233 ==> loss=11.549698
epoch 234 ==> loss=11.498528
epoch 235 ==> loss=11.447614
epoch 236 ==> loss=11.396865
epoch 237 ==> loss=11.346375
epoch 238 ==> loss=11.296154
epoch 239 ==> loss=11.2460985
epoch 240 ==> loss=11.196344
epoch 241 ==> loss=11.146796
epoch 242 ==> loss=11.097444
epoch 243 ==> loss=11.048409
epoch 244 ==> loss=10.999606
epoch 245 ==> loss=10.951103
epoch 246 ==> loss=10.902769
epoch 247 ==> loss=10.854807
epoch 248 ==> loss=10.807018
epoch 249 ==> loss=10.759482
epoch 250 ==> loss=10.712172
epoch 251 ==> loss=10.665208
epoch 252 ==> loss=10.618385
epoch 253 ==> loss=10.571878
epoch 254 ==> loss=10.525638
epoch 255 ==> loss=10.479674
epoch 256 ==> loss=10.433916
epoch 257 ==> loss=10.3884535
epoch 258 ==> loss=10.343171
epoch 259 ==> loss=10.29813
epoch 260 ==> loss=10.253361
epoch 261 ==> loss=10.208828
epoch 262 ==> loss=10.164496
epoch 263 ==> loss=10.120426
epoch 264 ==> loss=10.076521
epoch 265 ==> loss=10.032857
epoch 266 ==> loss=9.989432
epoch 267 ==> loss=9.946137
epoch 268 ==> loss=9.903114
epoch 269 ==> loss=9.860324
epoch 270 ==> loss=9.817749
epoch 271 ==> loss=9.775412
epoch 272 ==> loss=9.733237
epoch 273 ==> loss=9.691217
epoch 274 ==> loss=9.64951
epoch 275 ==> loss=9.607944
