Limited tf.compat.v2.summary API due to missing TensorBoard installation.
Using SEED = 5578
/home/xianlli/dataset/HSI/urban/Urban_corrected.mat
img shape: (150, 160, 162)
img_patches_nonzero: (12048, 7, 7, 162)
x_patches shape: (12048, 7, 7, 162), labels: [1 2 3 4 5 6 7]
constructing hypergraph...
construction completed. training clustering network...
epoch
epoch 0 ==> loss=577.7548
epoch 1 ==> loss=2621.7993
epoch 2 ==> loss=439.9631
epoch 3 ==> loss=645.42566
epoch 4 ==> loss=1288.0592
epoch 5 ==> loss=1044.5935
epoch 6 ==> loss=483.64575
epoch 7 ==> loss=184.91373
epoch 8 ==> loss=260.24866
epoch 9 ==> loss=468.9385
epoch 10 ==> loss=545.6091
epoch 11 ==> loss=441.3695
epoch 12 ==> loss=268.81146
epoch 13 ==> loss=154.83865
epoch 14 ==> loss=146.88385
epoch 15 ==> loss=203.68698
epoch 16 ==> loss=250.14069
epoch 17 ==> loss=239.42859
epoch 18 ==> loss=177.96707
epoch 19 ==> loss=108.32982
epoch 20 ==> loss=72.05428
epoch 21 ==> loss=81.34758
epoch 22 ==> loss=113.67433
epoch 23 ==> loss=132.44986
epoch 24 ==> loss=119.4548
epoch 25 ==> loss=88.30887
epoch 26 ==> loss=66.46039
epoch 27 ==> loss=67.42365
epoch 28 ==> loss=81.1762
epoch 29 ==> loss=87.481064
epoch 30 ==> loss=77.55957
epoch 31 ==> loss=60.89498
epoch 32 ==> loss=52.20625
epoch 33 ==> loss=55.86564
epoch 34 ==> loss=63.63508
epoch 35 ==> loss=65.07573
epoch 36 ==> loss=58.15133
epoch 37 ==> loss=49.658646
epoch 38 ==> loss=46.88522
epoch 39 ==> loss=50.137917
epoch 40 ==> loss=53.560158
epoch 41 ==> loss=52.244286
epoch 42 ==> loss=47.217617
epoch 43 ==> loss=43.168015
epoch 44 ==> loss=42.838852
epoch 45 ==> loss=44.688965
epoch 46 ==> loss=45.396698
epoch 47 ==> loss=43.580563
epoch 48 ==> loss=40.761734
epoch 49 ==> loss=39.21999
epoch 50 ==> loss=39.541122
epoch 51 ==> loss=40.346947
epoch 52 ==> loss=40.089783
epoch 53 ==> loss=38.667255
epoch 54 ==> loss=37.22723
epoch 55 ==> loss=36.732483
epoch 56 ==> loss=37.012234
epoch 57 ==> loss=37.177197
epoch 58 ==> loss=36.66482
epoch 59 ==> loss=35.741978
epoch 60 ==> loss=35.06243
epoch 61 ==> loss=34.919918
epoch 62 ==> loss=35.01528
epoch 63 ==> loss=34.880913
epoch 64 ==> loss=34.398445
epoch 65 ==> loss=33.85158
epoch 66 ==> loss=33.547073
epoch 67 ==> loss=33.487404
epoch 68 ==> loss=33.429543
epoch 69 ==> loss=33.18823
epoch 70 ==> loss=32.81918
epoch 71 ==> loss=32.51084
epoch 72 ==> loss=32.357662
epoch 73 ==> loss=32.27534
epoch 74 ==> loss=32.12766
epoch 75 ==> loss=31.88265
epoch 76 ==> loss=31.626581
epoch 77 ==> loss=31.444998
epoch 78 ==> loss=31.329105
epoch 79 ==> loss=31.204584
epoch 80 ==> loss=31.02514
epoch 81 ==> loss=30.818094
epoch 82 ==> loss=30.63906
epoch 83 ==> loss=30.50301
epoch 84 ==> loss=30.376623
epoch 85 ==> loss=30.224945
epoch 86 ==> loss=30.050812
epoch 87 ==> loss=29.884052
epoch 88 ==> loss=29.741968
epoch 89 ==> loss=29.612473
epoch 90 ==> loss=29.47364
epoch 91 ==> loss=29.320812
epoch 92 ==> loss=29.168442
epoch 93 ==> loss=29.028875
epoch 94 ==> loss=28.899092
epoch 95 ==> loss=28.766861
epoch 96 ==> loss=28.627197
epoch 97 ==> loss=28.48591
epoch 98 ==> loss=28.351034
epoch 99 ==> loss=28.222853
epoch 100 ==> loss=28.095041
epoch 101 ==> loss=27.963793
epoch 102 ==> loss=27.83153
epoch 103 ==> loss=27.702286
epoch 104 ==> loss=27.576576
epoch 105 ==> loss=27.45183
epoch 106 ==> loss=27.325459
epoch 107 ==> loss=27.198332
epoch 108 ==> loss=27.072933
epoch 109 ==> loss=26.950022
epoch 110 ==> loss=26.828304
epoch 111 ==> loss=26.706398
epoch 112 ==> loss=26.584131
epoch 113 ==> loss=26.463259
epoch 114 ==> loss=26.34408
epoch 115 ==> loss=26.225887
epoch 116 ==> loss=26.10815
epoch 117 ==> loss=25.990925
epoch 118 ==> loss=25.874756
epoch 119 ==> loss=25.760082
epoch 120 ==> loss=25.64675
epoch 121 ==> loss=25.534319
epoch 122 ==> loss=25.422707
epoch 123 ==> loss=25.312248
epoch 124 ==> loss=25.202866
epoch 125 ==> loss=25.094658
epoch 126 ==> loss=24.987509
epoch 127 ==> loss=24.880934
epoch 128 ==> loss=24.7754
epoch 129 ==> loss=24.670969
epoch 130 ==> loss=24.567394
epoch 131 ==> loss=24.464647
epoch 132 ==> loss=24.36266
epoch 133 ==> loss=24.261395
epoch 134 ==> loss=24.16105
epoch 135 ==> loss=24.061636
epoch 136 ==> loss=23.962885
epoch 137 ==> loss=23.864862
epoch 138 ==> loss=23.767696
epoch 139 ==> loss=23.670984
epoch 140 ==> loss=23.575466
epoch 141 ==> loss=23.480677
epoch 142 ==> loss=23.386602
epoch 143 ==> loss=23.29358
epoch 144 ==> loss=23.201025
epoch 145 ==> loss=23.109228
epoch 146 ==> loss=23.018135
epoch 147 ==> loss=22.927658
epoch 148 ==> loss=22.837854
epoch 149 ==> loss=22.748814
epoch 150 ==> loss=22.660389
epoch 151 ==> loss=22.572739
epoch 152 ==> loss=22.485857
epoch 153 ==> loss=22.399586
epoch 154 ==> loss=22.314188
epoch 155 ==> loss=22.229342
epoch 156 ==> loss=22.145416
epoch 157 ==> loss=22.061945
epoch 158 ==> loss=21.979269
epoch 159 ==> loss=21.897043
epoch 160 ==> loss=21.815191
epoch 161 ==> loss=21.733788
epoch 162 ==> loss=21.65279
epoch 163 ==> loss=21.572073
epoch 164 ==> loss=21.49164
epoch 165 ==> loss=21.411572
epoch 166 ==> loss=21.331709
epoch 167 ==> loss=21.252367
epoch 168 ==> loss=21.173395
epoch 169 ==> loss=21.094696
epoch 170 ==> loss=21.01657
epoch 171 ==> loss=20.938805
epoch 172 ==> loss=20.861444
epoch 173 ==> loss=20.784628
epoch 174 ==> loss=20.708214
epoch 175 ==> loss=20.632242
epoch 176 ==> loss=20.556679
epoch 177 ==> loss=20.48147
epoch 178 ==> loss=20.40672
epoch 179 ==> loss=20.332394
epoch 180 ==> loss=20.258299
epoch 181 ==> loss=20.184603
epoch 182 ==> loss=20.111256
epoch 183 ==> loss=20.03812
epoch 184 ==> loss=19.965435
epoch 185 ==> loss=19.892921
epoch 186 ==> loss=19.820684
epoch 187 ==> loss=19.748758
epoch 188 ==> loss=19.677076
epoch 189 ==> loss=19.605715
epoch 190 ==> loss=19.534603
epoch 191 ==> loss=19.463665
epoch 192 ==> loss=19.392977
epoch 193 ==> loss=19.322603
epoch 194 ==> loss=19.25242
epoch 195 ==> loss=19.182526
epoch 196 ==> loss=19.112822
epoch 197 ==> loss=19.04335
epoch 198 ==> loss=18.974054
epoch 199 ==> loss=18.905043
epoch 200 ==> loss=18.836134
epoch 201 ==> loss=18.767511
epoch 202 ==> loss=18.699106
epoch 203 ==> loss=18.630928
epoch 204 ==> loss=18.563028
epoch 205 ==> loss=18.495512
epoch 206 ==> loss=18.428148
epoch 207 ==> loss=18.36113
epoch 208 ==> loss=18.294348
epoch 209 ==> loss=18.227846
epoch 210 ==> loss=18.161636
epoch 211 ==> loss=18.095707
epoch 212 ==> loss=18.030075
epoch 213 ==> loss=17.964827
epoch 214 ==> loss=17.899708
epoch 215 ==> loss=17.834957
epoch 216 ==> loss=17.770464
epoch 217 ==> loss=17.706348
epoch 218 ==> loss=17.642408
epoch 219 ==> loss=17.578838
epoch 220 ==> loss=17.515583
epoch 221 ==> loss=17.452585
epoch 222 ==> loss=17.38994
epoch 223 ==> loss=17.327597
epoch 224 ==> loss=17.26556
epoch 225 ==> loss=17.203718
epoch 226 ==> loss=17.14214
epoch 227 ==> loss=17.080938
epoch 228 ==> loss=17.01991
epoch 229 ==> loss=16.959131
epoch 230 ==> loss=16.898565
epoch 231 ==> loss=16.838203
epoch 232 ==> loss=16.778183
epoch 233 ==> loss=16.718407
epoch 234 ==> loss=16.65885
epoch 235 ==> loss=16.599586
epoch 236 ==> loss=16.540579
epoch 237 ==> loss=16.481821
epoch 238 ==> loss=16.423277
epoch 239 ==> loss=16.365
epoch 240 ==> loss=16.306932
epoch 241 ==> loss=16.249168
epoch 242 ==> loss=16.191492
epoch 243 ==> loss=16.134073
epoch 244 ==> loss=16.076921
epoch 245 ==> loss=16.019913
epoch 246 ==> loss=15.963245
epoch 247 ==> loss=15.906766
epoch 248 ==> loss=15.850397
epoch 249 ==> loss=15.794282
epoch 250 ==> loss=15.73851
epoch 251 ==> loss=15.682833
epoch 252 ==> loss=15.627482
epoch 253 ==> loss=15.572233
epoch 254 ==> loss=15.51715
epoch 255 ==> loss=15.46239
epoch 256 ==> loss=15.407819
epoch 257 ==> loss=15.353519
epoch 258 ==> loss=15.299436
epoch 259 ==> loss=15.245663
epoch 260 ==> loss=15.192129
epoch 261 ==> loss=15.138762
epoch 262 ==> loss=15.085579
epoch 263 ==> loss=15.032767
epoch 264 ==> loss=14.980107
epoch 265 ==> loss=14.927657
epoch 266 ==> loss=14.87538
epoch 267 ==> loss=14.823378
epoch 268 ==> loss=14.771606
epoch 269 ==> loss=14.719981
epoch 270 ==> loss=14.668614
epoch 271 ==> loss=14.617418
epoch 272 ==> loss=14.566411
epoch 273 ==> loss=14.51571
epoch 274 ==> loss=14.465189
epoch 275 ==> loss=14.414904
epoch 276 ==> loss=14.364822
epoch 277 ==> loss=14.314972
epoch 278 ==> loss=14.265323
epoch 279 ==> loss=14.215847
epoch 280 ==> loss=14.166633
epoch 281 ==> loss=14.117624
epoch 282 ==> loss=14.068836
epoch 283 ==> loss=14.020158
epoch 284 ==> loss=13.971692
epoch 285 ==> loss=13.923456
epoch 286 ==> loss=13.875443
epoch 287 ==> loss=13.827533
epoch 288 ==> loss=13.779927
epoch 289 ==> loss=13.732443
epoch 290 ==> loss=13.68519
epoch 291 ==> loss=13.6381445
epoch 292 ==> loss=13.591301
epoch 293 ==> loss=13.544658
epoch 294 ==> loss=13.498196
epoch 295 ==> loss=13.451993
epoch 296 ==> loss=13.405974
epoch 297 ==> loss=13.360187
epoch 298 ==> loss=13.314587
epoch 299 ==> loss=13.269175
epoch 300 ==> loss=13.223949
epoch 301 ==> loss=13.178954
epoch 302 ==> loss=13.13412
epoch 303 ==> loss=13.089478
epoch 304 ==> loss=13.045037
epoch 305 ==> loss=13.00082
epoch 306 ==> loss=12.956652
epoch 307 ==> loss=12.912779
epoch 308 ==> loss=12.868992
epoch 309 ==> loss=12.825403
epoch 310 ==> loss=12.781999
epoch 311 ==> loss=12.738824
epoch 312 ==> loss=12.6958275
epoch 313 ==> loss=12.653005
epoch 314 ==> loss=12.610308
epoch 315 ==> loss=12.567883
epoch 316 ==> loss=12.525627
epoch 317 ==> loss=12.483518
epoch 318 ==> loss=12.441713
epoch 319 ==> loss=12.400033
epoch 320 ==> loss=12.358614
epoch 321 ==> loss=12.317298
epoch 322 ==> loss=12.276146
epoch 323 ==> loss=12.235209
epoch 324 ==> loss=12.19444
epoch 325 ==> loss=12.153897
epoch 326 ==> loss=12.113448
epoch 327 ==> loss=12.073266
epoch 328 ==> loss=12.033285
epoch 329 ==> loss=11.993426
epoch 330 ==> loss=11.953686
epoch 331 ==> loss=11.914159
epoch 332 ==> loss=11.874775
epoch 333 ==> loss=11.835635
epoch 334 ==> loss=11.796584
epoch 335 ==> loss=11.757731
epoch 336 ==> loss=11.718971
epoch 337 ==> loss=11.680434
epoch 338 ==> loss=11.642047
epoch 339 ==> loss=11.603728
epoch 340 ==> loss=11.565613
epoch 341 ==> loss=11.527602
epoch 342 ==> loss=11.489783
epoch 343 ==> loss=11.452081
epoch 344 ==> loss=11.414484
epoch 345 ==> loss=11.377116
epoch 346 ==> loss=11.339896
epoch 347 ==> loss=11.302755
epoch 348 ==> loss=11.265791
epoch 349 ==> loss=11.228904
epoch 350 ==> loss=11.192241
epoch 351 ==> loss=11.155614
epoch 352 ==> loss=11.119201
epoch 353 ==> loss=11.082925
epoch 354 ==> loss=11.046731
epoch 355 ==> loss=11.010698
epoch 356 ==> loss=10.974748
epoch 357 ==> loss=10.938969
epoch 358 ==> loss=10.903361
epoch 359 ==> loss=10.867815
epoch 360 ==> loss=10.832429
epoch 361 ==> loss=10.797101
epoch 362 ==> loss=10.762021
epoch 363 ==> loss=10.726995
epoch 364 ==> loss=10.692098
epoch 365 ==> loss=10.657296
epoch 366 ==> loss=10.6226635
epoch 367 ==> loss=10.588146
epoch 368 ==> loss=10.553724
epoch 369 ==> loss=10.519468
epoch 370 ==> loss=10.4853115
epoch 371 ==> loss=10.451239
epoch 372 ==> loss=10.417351
epoch 373 ==> loss=10.3834915
epoch 374 ==> loss=10.349721
epoch 375 ==> loss=10.316083
epoch 376 ==> loss=10.28259
epoch 377 ==> loss=10.249137
epoch 378 ==> loss=10.215861
epoch 379 ==> loss=10.182641
epoch 380 ==> loss=10.149501
epoch 381 ==> loss=10.116523
epoch 382 ==> loss=10.083664
epoch 383 ==> loss=10.050845
epoch 384 ==> loss=10.018201
epoch 385 ==> loss=9.985584
epoch 386 ==> loss=9.953194
epoch 387 ==> loss=9.920788
epoch 388 ==> loss=9.888576
epoch 389 ==> loss=9.856443
epoch 390 ==> loss=9.824428
epoch 391 ==> loss=9.792493
epoch 392 ==> loss=9.760703
epoch 393 ==> loss=9.728973
epoch 394 ==> loss=9.697427
epoch 395 ==> loss=9.665947
epoch 396 ==> loss=9.634618
epoch 397 ==> loss=9.603321
epoch 398 ==> loss=9.572184
epoch 399 ==> loss=9.541168
acc 0.6531374501992031 nmi 0.6269992754299507 kappa 0.5936247094708712 ca [0.48262548 0.59499431 0.66473318 0.99378882 0.7887546  0.9181128
 0.        ]
running time 642.774
finish
