Limited tf.compat.v2.summary API due to missing TensorBoard installation.
Using SEED = 860
/home/xianlli/dataset/HSI/Houston/Houston_corrected.mat
img shape: (130, 130, 144)
img_patches_nonzero: (6104, 7, 7, 144)
x_patches shape: (6104, 7, 7, 144), labels: [1 2 3 4 5 6 7]
constructing hypergraph...
construction completed. training clustering network...
epoch
epoch 176 ==> loss=6.2714143
epoch 177 ==> loss=6.2259216
epoch 178 ==> loss=6.1809154
epoch 179 ==> loss=6.1364346
epoch 180 ==> loss=6.092261
epoch 181 ==> loss=6.0485845
epoch 182 ==> loss=6.0051575
epoch 183 ==> loss=5.9621186
epoch 184 ==> loss=5.9195046
epoch 185 ==> loss=5.8772354
epoch 186 ==> loss=5.835291
epoch 187 ==> loss=5.7938895
epoch 188 ==> loss=5.7526636
epoch 189 ==> loss=5.711809
epoch 190 ==> loss=5.6711316
epoch 191 ==> loss=5.630817
epoch 192 ==> loss=5.5908527
epoch 193 ==> loss=5.55112
epoch 194 ==> loss=5.5119643
epoch 195 ==> loss=5.4729643
epoch 196 ==> loss=5.4341135
epoch 197 ==> loss=5.395653
epoch 198 ==> loss=5.3574824
epoch 199 ==> loss=5.3196125
epoch 200 ==> loss=5.2820473
epoch 201 ==> loss=5.2447777
epoch 202 ==> loss=5.2076716
epoch 203 ==> loss=5.1709
epoch 204 ==> loss=5.134345
epoch 205 ==> loss=5.0981426
epoch 206 ==> loss=5.0621586
epoch 207 ==> loss=5.02644
epoch 208 ==> loss=4.990942
epoch 209 ==> loss=4.955734
epoch 210 ==> loss=4.9207716
epoch 211 ==> loss=4.8859124
epoch 212 ==> loss=4.851453
epoch 213 ==> loss=4.817193
epoch 214 ==> loss=4.783152
epoch 215 ==> loss=4.7494006
epoch 216 ==> loss=4.7158046
epoch 217 ==> loss=4.6824627
epoch 218 ==> loss=4.649283
epoch 219 ==> loss=4.6164155
epoch 220 ==> loss=4.583758
epoch 221 ==> loss=4.551366
epoch 222 ==> loss=4.519165
epoch 223 ==> loss=4.487277
epoch 224 ==> loss=4.4555264
epoch 225 ==> loss=4.4240103
epoch 226 ==> loss=4.3927574
epoch 227 ==> loss=4.361732
epoch 228 ==> loss=4.330919
epoch 229 ==> loss=4.3004084
epoch 230 ==> loss=4.270032
epoch 231 ==> loss=4.2399516
epoch 232 ==> loss=4.2101345
epoch 233 ==> loss=4.1805964
epoch 234 ==> loss=4.151429
epoch 235 ==> loss=4.12219
epoch 236 ==> loss=4.0933394
epoch 237 ==> loss=4.0645614
epoch 238 ==> loss=4.035982
epoch 239 ==> loss=4.007604
epoch 240 ==> loss=3.9794972
epoch 241 ==> loss=3.9515977
epoch 242 ==> loss=3.9238267
epoch 243 ==> loss=3.8963919
epoch 244 ==> loss=3.8691976
epoch 245 ==> loss=3.8422215
epoch 246 ==> loss=3.8154624
epoch 247 ==> loss=3.7889376
epoch 248 ==> loss=3.7625368
epoch 249 ==> loss=3.7364004
epoch 250 ==> loss=3.7105107
epoch 251 ==> loss=3.6847808
epoch 252 ==> loss=3.659373
epoch 253 ==> loss=3.6341677
epoch 254 ==> loss=3.6090982
epoch 255 ==> loss=3.58413
epoch 256 ==> loss=3.5593777
epoch 257 ==> loss=3.5349572
epoch 258 ==> loss=3.510785
epoch 259 ==> loss=3.486929
epoch 260 ==> loss=3.4629536
epoch 261 ==> loss=3.4393756
epoch 262 ==> loss=3.4156773
epoch 263 ==> loss=3.3923068
epoch 264 ==> loss=3.3691626
epoch 265 ==> loss=3.346442
epoch 266 ==> loss=3.3236196
epoch 267 ==> loss=3.3011453
epoch 268 ==> loss=3.2782593
epoch 269 ==> loss=3.2555656
epoch 270 ==> loss=3.2329082
epoch 271 ==> loss=3.210631
epoch 272 ==> loss=3.1884813
epoch 273 ==> loss=3.1666536
epoch 274 ==> loss=3.1447668
epoch 275 ==> loss=3.1232178
epoch 276 ==> loss=3.1016645
epoch 277 ==> loss=3.0807865
epoch 278 ==> loss=3.0603542
epoch 279 ==> loss=3.0429597
epoch 280 ==> loss=3.0231154
epoch 281 ==> loss=3.0095353
epoch 282 ==> loss=2.9806721
epoch 283 ==> loss=2.9575343
epoch 284 ==> loss=2.9337947
epoch 285 ==> loss=2.9127138
epoch 286 ==> loss=2.893313
epoch 287 ==> loss=2.8748565
epoch 288 ==> loss=2.8606536
epoch 289 ==> loss=2.8409345
epoch 290 ==> loss=2.8283827
epoch 291 ==> loss=2.7976348
epoch 292 ==> loss=2.7740269
epoch 293 ==> loss=2.752984
epoch 294 ==> loss=2.7354076
epoch 295 ==> loss=2.7227392
epoch 296 ==> loss=2.7048497
epoch 297 ==> loss=2.6954265
epoch 298 ==> loss=2.6623852
epoch 299 ==> loss=2.6380372
epoch 300 ==> loss=2.6202638
epoch 301 ==> loss=2.6088884
epoch 302 ==> loss=2.6112983
epoch 303 ==> loss=2.571726
epoch 304 ==> loss=2.5467231
epoch 305 ==> loss=2.5289855
epoch 306 ==> loss=2.5160918
epoch 307 ==> loss=2.5119362
epoch 308 ==> loss=2.484068
epoch 309 ==> loss=2.466061
epoch 310 ==> loss=2.444378
epoch 311 ==> loss=2.4271376
epoch 312 ==> loss=2.4089656
epoch 313 ==> loss=2.3925762
epoch 314 ==> loss=2.3754272
epoch 315 ==> loss=2.3603508
epoch 316 ==> loss=2.3439708
epoch 317 ==> loss=2.332536
epoch 318 ==> loss=2.3166351
epoch 319 ==> loss=2.3119223
epoch 320 ==> loss=2.284742
epoch 321 ==> loss=2.2688162
epoch 322 ==> loss=2.2469501
epoch 323 ==> loss=2.229521
epoch 324 ==> loss=2.2128165
epoch 325 ==> loss=2.1972108
epoch 326 ==> loss=2.1828318
epoch 327 ==> loss=2.1705792
epoch 328 ==> loss=2.1680605
epoch 329 ==> loss=2.1559813
epoch 330 ==> loss=2.171994
epoch 331 ==> loss=2.1106963
epoch 332 ==> loss=2.1155832
epoch 333 ==> loss=2.1902351
epoch 334 ==> loss=2.0912395
epoch 335 ==> loss=2.3481593
epoch 336 ==> loss=2.517395
epoch 337 ==> loss=2.75918
epoch 338 ==> loss=2.8170574
epoch 339 ==> loss=2.7513137
epoch 340 ==> loss=2.5766554
epoch 341 ==> loss=2.388184
epoch 342 ==> loss=2.273229
epoch 343 ==> loss=2.42824
epoch 344 ==> loss=2.2270973
epoch 345 ==> loss=2.180371
epoch 346 ==> loss=2.1262326
epoch 347 ==> loss=2.161095
epoch 348 ==> loss=2.0800416
epoch 349 ==> loss=2.10076
epoch 350 ==> loss=2.072032
epoch 351 ==> loss=2.023667
epoch 352 ==> loss=1.9833366
epoch 353 ==> loss=1.9898304
epoch 354 ==> loss=1.9070877
epoch 355 ==> loss=1.9115167
epoch 356 ==> loss=1.8958211
epoch 357 ==> loss=1.8849418
epoch 358 ==> loss=1.850862
epoch 359 ==> loss=1.8367599
epoch 360 ==> loss=1.7953424
epoch 361 ==> loss=1.7964991
epoch 362 ==> loss=1.7605618
epoch 363 ==> loss=1.753282
epoch 364 ==> loss=1.7395599
epoch 365 ==> loss=1.7198226
epoch 366 ==> loss=1.7089267
epoch 367 ==> loss=1.684245
epoch 368 ==> loss=1.675269
epoch 369 ==> loss=1.656285
epoch 370 ==> loss=1.6406703
epoch 371 ==> loss=1.6430508
epoch 372 ==> loss=1.6212713
epoch 373 ==> loss=1.6008002
epoch 374 ==> loss=1.6015681
epoch 375 ==> loss=1.5809916
epoch 376 ==> loss=1.5645761
epoch 377 ==> loss=1.5681388
epoch 378 ==> loss=1.5552937
epoch 379 ==> loss=1.5347042
epoch 380 ==> loss=1.5488594
epoch 381 ==> loss=1.541746
epoch 382 ==> loss=1.5126129
epoch 383 ==> loss=1.5409266
epoch 384 ==> loss=1.5172648
epoch 385 ==> loss=1.5154629
epoch 386 ==> loss=1.4630231
epoch 387 ==> loss=1.4749831
epoch 388 ==> loss=1.492494
epoch 389 ==> loss=1.4828768
epoch 390 ==> loss=1.4250734
epoch 391 ==> loss=1.4629086
